,p,d,q,P,D,Q,AIC,BIC
89,1,0,3,0,0,1,4439.384280295581,4460.39182955885
66,1,0,0,0,1,0,4440.389505234594,4447.4163627269245
37,0,1,0,1,0,1,4441.9404427751015,4452.468607784986
233,3,1,1,0,0,1,4442.700951455102,4463.732940670696
77,1,0,1,1,0,1,4443.152046535921,4460.698988219061
132,2,0,0,1,0,0,4444.977007066234,4459.0145604127465
41,0,1,1,0,0,1,4449.425284123263,4459.94127873106
145,2,0,2,0,0,1,4453.90319434965,4474.935183565244
169,2,1,1,0,0,1,4454.560688782517,4472.087346462179
209,3,0,2,0,0,1,4455.465019756109,4480.002340507635
81,1,0,2,0,0,1,4458.248955254116,4475.775612933778
36,0,1,0,1,0,0,4459.065741031557,4466.092598523887
10,0,0,1,0,1,0,4460.066504431807,4467.085281105063
84,1,0,2,1,0,0,4463.44426273556,4481.011406466385
76,1,0,1,1,0,0,4468.003131538981,4482.05684652364
225,3,1,0,0,0,1,4468.592791438476,4486.139733121616
161,2,1,0,0,0,1,4471.13447203734,4485.172025383852
68,1,0,0,1,0,0,4474.715709615555,4485.2559958540505
201,3,0,1,0,0,1,4475.498014648589,4496.554344668357
69,1,0,0,1,0,1,4475.600711264358,4489.654426249018
137,2,0,1,0,0,1,4478.48432676859,4496.03126845173
34,0,1,0,0,1,0,4481.606988105907,4485.116376442535
73,1,0,1,0,0,1,4485.978546573227,4500.016099919739
97,1,1,0,0,0,1,4487.381405993252,4497.909571003136
33,0,1,0,0,0,1,4492.574889592126,4499.593666265382
193,3,0,0,0,0,1,4503.467891532158,4521.035035262983
129,2,0,0,0,0,1,4509.4857512554045,4523.539466240064
65,1,0,0,0,0,1,4516.483273370623,4527.023559609118
28,0,0,3,1,0,0,4517.234642395327,4534.821906877651
5,0,0,0,1,0,1,4523.746193739189,4534.286479977684
2,0,0,0,0,1,0,4528.333301679739,4531.846730425904
4,0,0,0,1,0,0,4546.115025254393,4553.149931047323
56,0,1,3,0,0,0,5431.239680503804,5446.001118321101
184,2,1,3,0,0,0,5431.648859637274,5453.791016363218
120,1,1,3,0,0,0,5432.231459241129,5450.68325651275
112,1,1,2,0,0,0,5447.809802017848,5462.584730573059
176,2,1,2,0,0,0,5449.715965343269,5468.184626037282
232,3,1,1,0,0,0,5450.0993681096825,5468.568028803696
88,1,0,3,0,0,0,5451.0366729270045,5469.505333621018
48,0,1,2,0,0,0,5451.24232175557,5462.323518171977
240,3,1,2,0,0,0,5451.359169595598,5473.521562428415
152,2,0,3,0,0,0,5451.687264360808,5473.849657193624
216,3,0,3,0,0,0,5453.428448151148,5479.284573122766
224,3,1,0,0,0,0,5457.249050898275,5472.0239794534855
168,2,1,1,0,0,0,5465.482963362198,5480.271337308219
200,3,0,1,0,0,0,5467.79328163193,5486.278749064457
144,2,0,2,0,0,0,5467.845757500892,5486.331224933419
208,3,0,2,0,0,0,5469.484026505885,5491.666587424917
80,1,0,2,0,0,0,5472.723917602691,5487.512291548712
248,3,1,3,0,0,0,5474.778127534011,5500.61064371428
160,2,1,0,0,0,0,5477.603456467461,5488.694736926977
192,3,0,0,0,0,0,5479.527550000326,5494.3159239463475
104,1,1,1,0,0,0,5480.568149521048,5491.659429980565
40,0,1,1,0,0,0,5490.418571249798,5497.812758222809
32,0,1,0,0,0,0,5506.418974182966,5510.119417756357
96,1,1,0,0,0,0,5508.377813029128,5515.77870017591
72,1,0,1,0,0,0,5510.221835440533,5521.323166160705
128,2,0,0,0,0,0,5510.2634027952445,5521.364733515416
136,2,0,1,0,0,0,5512.189880214385,5526.991654507948
64,1,0,0,0,0,0,5539.393821597549,5546.801386546861
29,0,0,3,1,0,1,5815.429362284398,5836.436911547667
25,0,0,3,0,0,1,5818.568207995162,5836.074499047886
21,0,0,2,1,0,1,5837.464925081136,5854.991582760798
17,0,0,2,0,0,1,5845.796678117835,5859.818004261564
13,0,0,1,1,0,1,5859.547870531118,5873.58542387763
9,0,0,1,0,0,1,5880.876161244472,5891.404326254356
12,0,0,1,1,0,0,5904.970521577053,5915.522880266447
20,0,0,2,1,0,0,5906.594958544976,5920.664770130835
1,0,0,0,0,0,1,5958.629584433977,5965.656441926307
24,0,0,3,0,0,0,7055.913624665109,7070.68855322032
16,0,0,2,0,0,0,7094.374914848755,7105.466195308271
8,0,0,1,0,0,0,7169.42693607348,7176.827823220261
0,0,0,0,0,0,0,7409.327478328251,7413.031260802907
